Saison;Nachname;Vorname;LfdNr;Gesamt;AnzSpiele;Tore;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
2023/24;Fousseni;Adinane;6;1711;21;0;0;0;0;0;90;0;90;0;15;90;90;90;75;90;54;90;90;0;90;90;70;70;0;90;90;90;90;90;77;0;0;;;
2023/24;Haliti;Asdren;7;2184;27;90;34;80;0;90;90;77;90;61;90;90;73;60;90;90;90;90;0;0;90;90;88;90;75;90;16;90;90;90;90;0;0;;;
2023/24;Heinz;Merlin;8;1296;18;0;0;0;0;16;0;0;0;0;0;18;45;90;90;90;90;90;74;0;0;45;90;90;90;58;0;50;90;90;90;0;0;;;
2023/24;Houghton;Niklaas;9;2072;26;0;90;70;0;90;86;45;90;90;76;73;90;90;66;56;66;90;30;0;90;89;90;90;90;67;90;88;90;90;0;0;0;;;
2023/24;Kamp;Philipp;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2023/24;Kocak;Canel;11;156;10;0;0;21;0;0;0;14;0;0;0;0;18;16;0;28;16;0;17;0;10;13;3;0;0;0;0;0;0;0;0;0;0;;;
2023/24;Kötter;Marco;12;713;14;16;16;26;0;30;76;90;90;73;40;90;16;0;25;35;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2023/24;Merker;Tim;13;2382;27;90;90;90;0;90;90;90;90;90;90;90;90;90;90;90;0;90;90;0;90;90;90;90;90;42;90;90;90;90;90;0;0;;;
2023/24;Mustafaj;Erduan;14;318;11;45;34;0;0;22;0;0;21;6;0;9;27;90;16;11;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2023/24;Over;Janis;15;1994;23;90;90;0;0;90;90;90;90;90;0;0;90;90;90;90;90;90;90;0;90;90;90;90;90;90;90;0;0;90;14;0;0;;;
2023/24;Peppenhorst;Luca;16;485;7;0;0;90;0;0;0;0;0;0;90;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;90;1;34;0;0;;;
2023/24;Pinto;Fabio;17;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
