Saison;Spieltag;Datum;H/A;Gegner;Ergebnis;Punkte;Platz;Geschossen;Kassiert
2022/23;7;25.09.2022;A;GW Gelmer;2:2;1;5;8|Merlin Heinz|50|Jannis Meyer;19|74
2022/23;8;01.10.2022;H;Bor. Münster;0:1;0;7;;26
2022/23;9;06.10.2022;A;TUS Altenberge;2:2;1;6;7|Merlin Heinz|85|Jakob Büchter;16|58
2022/23;10;16.10.2022;H;TUS Recke;1:1;1;8;82|Patrick Rockoff;90
2022/23;11;23.10.2022;A;Mesum II;2:1;3;5;59|Henrik Berentzen|76|Patrick Rockoff;80
2022/23;12;06.11.2022;H;Neuenkirchen II;2:3;0;10;55|Asdren Haliti|89|Asdren Haliti;65|67|82
2022/23;13;13.11.2022;A;Borghorster FC;3:2;3;8;36|Patrick Rockoff|74|Erduan Mustafaj|78|Erduan Mustafaj;13|15
2022/23;14;27.11.2022;H;Teuto Riesenbeck;1:2;0;10;56|Erduan Mustafaj;17|81
2022/23;15;04.12.2022;A;Ibbenbürener SV;0:3;0;10;;16|64|88
2022/23;16;11.12.2022;H;Greven 09;2:1;3;9;21|Leon Veltrup|64|Frederic Böhmer;85
2022/23;17;05.02.2023;H;SV Burgsteinfurt;4:1;3;8;18|Patrick Rockoff|62|Asdren Haliti|79|Hannes Rehr|89|Akram El Koulali;4
2022/23;18;12.02.2023;A;BW Aasee;4:0;3;8;38|Erduan Mustafaj|43|Asdren Haliti|59|Patrick Rockoff|64|Patrick Rockoff;
2022/23;19;26.02.2023;H;Graf Kobbo Tecklenburg;2:0;3;6;23|Janes Böggemann|53|Asdren Haliti;
2022/23;20;05.03.2023;A;Eintracht Rheine II;2:2;1;6;58|Asdren Haliti|76|Merlin Heinz;53|78
2022/23;21;12.03.2023;H;Westf. Kinderhaus;6:0;3;5;15|Merlin Heinz|19|Merlin Heinz|28|Asdren Haliti|37|Jakob Büchter|52|Jannis Meyer|66|Marco Kötter;
2022/23;22;19.03.2023;A;Münster 08;1:0;3;4;61|Frederic Böhmer;
2022/23;23;26.03.2023;H;GW Gelmer;2:1;3;3;52|Tim Merker|85|Jonas Schomaker;10
2022/23;24;02.04.2023;A;Bor. Münster;2:2;1;4;38|Janes Böggemann|89|Jannis Meyer;12|35
2022/23;25;06.04.2023;H;TUS Altenberge;2:0;3;4;82|Jannis Meyer|83|Janes Böggemann;
2022/23;26;10.04.2023;A;TUS Recke;2:2;1;4;68|Janes Böggemann|81|ET;20|42
2022/23;27;16.04.2023;H;Mesum II;1:1;1;5;76|Jonas Schomaker;70
2022/23;28;30.04.2023;A;Neuenkirchen II;2:2;1;6;11|Jonas Schomaker|33|Jonas Schomaker;51|74
2022/23;29;07.05.2023;H;Borghorster FC;2:2;1;6;9|Jonas Schomaker|31|Hannes Rehr;20|56
2022/23;30;14.05.2023;A;Teuto Riesenbeck;1:2;0;7;56|Asdren Haliti;75|87
2022/23;31;21.05.2023;H;Ibbenbürener SV;3:5;0;7;48|Tim Befus|66|ET|75|Janes Böggemann;22|34|43|63|84
2022/23;32;29.05.2023;A;Greven 09;3:2;3;6;20|Tim Merker|53|Asdren Haliti|75|Erduan Mustafaj;60|78
